datetime,year,month,day,hour,minute,weekday,timestamp_iso,address,map,name,tags,preset,players,round_id,run_level,panic_bunker,round_start_time,soft_max_players,baby_jail,planet_map,playerlist,characters,short_name,queue,real_ip,real_name
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14s://arles.station14.ru/wega-main/server,Kerberos Station,🌟 Corvax — Вега 🌟[TTS][18+],"lang:ru,rp:low,rp:med,region:eu_e,tts,18+",Расширенный,81,2065,1,1,2025-05-20T19:07:03.5365050Z,100,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14://85.192.48.255:1213/,Аванпост Фронтира,[WL][Frontier] 🐊 pacable station 🐊,,Pirates,5,94,1,0,2025-05-18T20:22:14.4005560Z,50,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14://play.funkystation.org,Barratry,[EN][MRP] Funky Station - Cirno,"lang:en,region:am_n_e",Secret,48,6038,1,0,2025-05-20T19:02:42.7114049Z,80,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14://138.124.114.65:1212/,,[RU] Corvax - Force,,Секрет,0,344,0,1,,80,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14://193.164.16.220:1216,Moose,[RU] 🦅 Imperial Space | Whitelist | Созвездие Акила,,Ядерные оперативники,2,57664,1,0,2025-05-20T19:22:43.2430694Z,40,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14s://ludere.ss14.su/totalwar,,✊ Total War [TTS],"lang:ru,region:eu_e,rp:low,rp:med,rp:high",Продлённый,0,175,0,0,,70,,,,,,,ss14s://162.19.162.202:5555,Totalwar
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14s://leviathan.spacestation14.com/vulture,Marathon Station,[EN][Testing] Wizard's Den Vulture [US East 2],"lang:en,region:am_n_e,rp:low",Secret,54,84380,1,0,2025-05-20T19:12:07.4327460Z,80,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14s://remisk.remstations.com,Reach,[EN][LRP]Rem Station [US East 1],"region:ata,region:grl,region:am_n_e,region:luna,rp:low,lang:en",Secret,0,76,1,0,2025-05-20T16:40:07.4740816Z,80,,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14s://stalkers14.xyz/server/victoria,Silly Island,[MRP][RU]⚜️Victoria - оплот истории вселенной,"lang:ru,rp:med,region:eu_e",Секрет,3,291,1,0,2025-05-20T19:04:59.4222815Z,100,0,,,,,,,
2025-05-20 19:20,2025,5,20,19,20,2,2025-05-20T19:20:00,ss14://game.ac.blue-creature.com:1212,,[18+][RU][MRP][ERP] 🪐 AlphaCentauri | АльфаЦентавра,"18+,lang:ru,rp:med",Секрет,0,2272,0,0,,70,,,,,,,,
